Kab kota,Ibu kota,Luas wilayah (km2),Jumlah penduduk (2022),IPM
Kabupaten Mamberamo Raya,Burmeso,"23813,91",36483,8
Kabupaten Sarmi,Sarmi,17742,41515,10
Kabupaten Supiori,Sorendiweri,"678,32",22547,5
Kabupaten Waropen,Oudate,"10977,09",33943,11
Kota Jayapura,,"935,92",398478,5
Kabupaten Fakfak,Fakfak,14320,85197,17
Kabupaten Kaimana,Kaimana,"16241,84",62256,7
Kabupaten Manokwari,Manokwari,"3186,28",192663,9
Kabupaten Manokwari Selatan,Ransiki,"2812,44",35949,6
Kabupaten Pegunungan Arfak,Anggi,"2773,74",38207,10
Kabupaten Teluk Bintuni,Bintuni,"20840,83",87033,24
Kabupaten Teluk Wondama,Rasiei,"3959,53",41644,13
Kabupaten Asmat,Agats,"31983,69",110105,19
Kabupaten Boven Digoel,Tanah Merah,27108,64285,20
Kabupaten Mappi,Kepi,24118,108295,15
Kabupaten Merauke,Merauke,44071,230932,20
Kabupaten Deiyai,Tigi,"537,39",99091,5
Kabupaten Dogiyai,Kamu,"4237,4",116206,10
Kabupaten Intan Jaya,Sugapa,"3922,02",135043,8
Kabupaten Mimika,Timika,21633,311969,18
Kabupaten Nabire,Nabire,"11112,61",169136,15
Kabupaten Paniai,Enarotali,"6525,25",220410,23
Kabupaten Puncak,Ilaga,8055,114741,25
Kabupaten Puncak Jaya,Mulia,"5996,94",224527,26
Kabupaten Jayawijaya,Wamena,"13925,31",277923,40
Kabupaten Lanny Jaya,Tiom,"6077,4",201461,39
Kabupaten Mamberamo Tengah,Kobakma,"3743,64",51719,5
Kabupaten Nduga,Kenyam,12941,109630,32
Kabupaten Pegunungan Bintang,Oksibil,15683,78466,34
Kabupaten Tolikara,Karubaga,14564,244345,46
Kabupaten Yalimo,Elelim,"4330,29",103387,5
Kabupaten Yahukimo,Sumohai,17152,350880,51
Kabupaten Maybrat,Kumurkek,"5461,69",42991,24
Kabupaten Raja Ampat,Waisai,"8034,44",64141,24
Kabupaten Sorong,Aimas,"6544,23",118679,30
Kabupaten Sorong Selatan,Teminabuan,"6594,31",52469,15
Kabupaten Tambrauw,Fef,"11529,18",28379,29
Kota Sorong,,"656,64",284410,10
